order_date,picklist_no,sku,store_id,bin,bin_rank
2025-11-24,PL_091,48959,400061,LD-AD-G3-B3-B4-02-F,1
2025-11-24,PL_091,3774,399370,LD-AD-G3-B3-B4-08-A,2
2025-11-24,PL_091,98044,400989,LD-AE-G3-B3-B5-01-D,3
2025-11-24,PL_091,7439,401071,LD-AE-G3-B3-B5-06-C,4
2025-11-24,PL_091,7218,394542,LD-AE-G3-B3-B5-07-A,5
2025-11-24,PL_091,23629,396857,LD-AE-G3-B3-B5-06-A,6
2025-11-24,PL_091,27237,399370,LD-AF-G3-B3-B6-11-B,7
2025-11-24,PL_091,21572,400061,LD-AF-G3-B3-B6-01-B,8
2025-11-24,PL_091,26429,399370,LD-AF-G3-B3-B6-07-D,9
2025-11-24,PL_091,162974,400061,LD-AF-G3-B3-B6-11-D,10
2025-11-24,PL_091,152992,396857,LD-AF-G3-B3-B6-08-C,11
2025-11-24,PL_091,231840,400061,LD-AF-G3-B3-B6-05-D,12
2025-11-24,PL_091,203643,399370,LD-AF-G3-B3-B6-14-A,13
2025-11-24,PL_091,174351,396857,LD-AG-G3-B3-B7-10-A,14
2025-11-24,PL_091,200345,396857,LD-AG-G3-B3-B7-01-C,15
2025-11-24,PL_091,80939,400989,LD-AH-G3-B3-B8-12-D,16
2025-11-24,PL_091,79378,396857,LD-AH-G3-B3-B8-09-E,17
2025-11-24,PL_091,164894,401071,LD-AH-G3-B3-B8-03-E,18
2025-11-24,PL_091,154757,398161,LD-AH-G3-B3-B8-17-E,19
2025-11-24,PL_091,144520,399370,LD-AH-G3-B3-B8-09-D,20
2025-11-24,PL_091,175417,399370,LD-AH-G3-B3-B8-06-D,21
2025-11-24,PL_091,3776,400356,LD-AH-G3-B3-B8-15-C,22
2025-11-24,PL_091,23738,396204,LD-AI-G3-B3-B9-13-B,23
2025-11-24,PL_091,103138,400989,LD-AI-G3-B3-B9-13-A,24
2025-11-24,PL_091,182294,401071,LD-AI-G3-B3-B9-16-A,25
2025-11-24,PL_091,1464,394577,LD-AI-G3-B3-B9-07-E,26
2025-11-24,PL_091,7511,396204,LD-AJ-G3-B3-B10-18-D,27
2025-11-24,PL_091,22073,401071,LD-AJ-G3-B3-B10-05-F,28
2025-11-24,PL_091,113340,400061,LD-AK-G3-B3-B11-12-F,29
2025-11-24,PL_091,140099,396857,LD-AK-G3-B3-B11-10-B,30
2025-11-24,PL_091,4699,400061,LD-AL-G3-B3-B12-11-E,31
2025-11-24,PL_091,248808,399370,LD-AL-G3-B3-B12-12-E,32
2025-11-24,PL_091,217292,394577,LD-AM-G3-B3-B15-09-C,33
2025-11-24,PL_091,73163,394542,LD-AM-G3-B3-B15-13-C,34
2025-11-24,PL_091,5134,394542,LD-AM-G3-B3-B13-12-C,35
2025-11-24,PL_091,4592,399370,LD-AM-B3-B15-16-C3,36
2025-11-24,PL_091,40688,394542,LD-AM-G3-B3-B13-06-A,37
2025-11-24,PL_091,155799,400356,LD-AM-B3-B15-16-E2,38
2025-11-24,PL_091,132852,400356,LD-AM-G3-B3-B15-13-B,39
2025-11-24,PL_091,135799,398161,LD-AM-B3-B15-02-B2,40
2025-11-24,PL_091,239803,400061,LD-AM-B3-B15-12-D1,41
2025-11-24,PL_091,195404,394577,LD-AM-B3-B15-14-E1,42
2025-11-24,PL_091,21943,400356,LD-AN-G3-B3-B14-14-D,43
2025-11-24,PL_091,93868,398161,LD-AN-G3-B3-B14-06-A,44
2025-11-24,PL_091,6049,400061,LD-AN-G3-B3-B14-14-F,45
2025-11-24,PL_091,5673,400061,LD-AN-G3-B3-B14-05-D,46
2025-11-24,PL_091,71778,400356,LD-AN-B3-B16-11-C1,47
2025-11-24,PL_091,4578,394542,LD-AN-B3-B16-03-C2,48
2025-11-24,PL_091,7335,399370,LD-AN-G3-B3-B14-18-F,49
2025-11-24,PL_091,22505,400061,LD-AN-G3-B3-B14-01-F,50
2025-11-24,PL_091,22676,396204,LD-AN-B3-B16-17-E1,51
2025-11-24,PL_091,23376,400698,LD-AN-G3-B3-B14-08-B,52
2025-11-24,PL_091,23504,394542,LD-AN-G3-B3-B14-06-D,53
2025-11-24,PL_091,24609,394577,LD-AN-B3-B16-07-C1,54
2025-11-24,PL_091,174686,399370,LD-AN-B3-B16-18-A3,55
2025-11-24,PL_091,150305,400061,LD-AN-G3-B3-B14-07-B,56
2025-11-24,PL_091,1331,396204,LD-AN-G3-B3-B14-04-D,57
2025-11-24,PL_091,26595,400356,LD-AO-B3-B17-02-E2,58
2025-11-24,PL_091,4153,400061,LD-AO-B3-B17-07-B1,59
2025-11-24,PL_091,24562,394577,LD-AO-B3-B17-09-B1,60
2025-11-24,PL_091,142845,394542,LD-AO-B3-B17-10-B2,61
2025-11-24,PL_091,23647,394577,LD-AP-B3-B18-03-D2,62
2025-11-24,PL_091,23752,400356,LD-AP-B3-B18-12-D2,63
2025-11-24,PL_091,113906,399370,LD-AP-B3-B18-02-A2,64
2025-11-24,PL_091,3789,398161,LD-AP-B3-B18-17-D3,65
2025-11-24,PL_091,189461,396857,LD-AP-B3-B18-05-B2,66
2025-11-24,PL_091,107294,392645,LD-AR-B3-B20-01-C2,67
2025-11-24,PL_091,230471,394577,LD-AS-B3-B21-07-B1,68
